title;author;paperType;resultType;bestValue;minValue;maxValue;parameterValue;TimePressure;Incentive;Progression;Feedback;Customization;Immersion;Competition;Guild;VirtualEconomy;Assistance;Challenge;Chance;Altruism
The model for gamification of e-learning in higher education based on learning styles ;Zaric et al.;Game elements that can make a positive impact on a specific learning style (Felder Silverman) - based on literatur research;PositiveNumber;3;0;3;active;1,00;2,00;2,00;1,00;;0,00;2,00;;;;;;
The model for gamification of e-learning in higher education based on learning styles ;Zaric et al.;Game elements that can make a positive impact on a specific learning style (Felder Silverman) - based on literatur research;PositiveNumber;3;0;3;reflective;0,00;1,00;2,00;1,00;;1,00;1,00;;;;;;
The model for gamification of e-learning in higher education based on learning styles ;Zaric et al.;Game elements that can make a positive impact on a specific learning style (Felder Silverman) - based on literatur research;PositiveNumber;3;0;3;visual;1,00;2,00;2,00;1,00;;1,00;2,00;;;;;;
The model for gamification of e-learning in higher education based on learning styles ;Zaric et al.;Game elements that can make a positive impact on a specific learning style (Felder Silverman) - based on literatur research;PositiveNumber;3;0;3;verbal;1,00;0,00;1,00;1,00;;2,00;0,00;;;;;;
The model for gamification of e-learning in higher education based on learning styles ;Zaric et al.;Game elements that can make a positive impact on a specific learning style (Felder Silverman) - based on literatur research;PositiveNumber;3;0;3;sequential;0,00;2,00;2,00;1,00;;0,00;2,00;;;;;;
The model for gamification of e-learning in higher education based on learning styles ;Zaric et al.;Game elements that can make a positive impact on a specific learning style (Felder Silverman) - based on literatur research;PositiveNumber;3;0;3;global;0,00;2,00;1,00;0,00;;0,00;1,00;;;;;;
The model for gamification of e-learning in higher education based on learning styles ;Zaric et al.;Game elements that can make a positive impact on a specific learning style (Felder Silverman) - based on literatur research;PositiveNumber;3;0;3;sensor;0,00;2,00;2,00;1,00;;1,00;0,00;;;;;;
The model for gamification of e-learning in higher education based on learning styles ;Zaric et al.;Game elements that can make a positive impact on a specific learning style (Felder Silverman) - based on literatur research;PositiveNumber;3;0;3;intuitive;0,00;1,00;1,00;0,00;;2,00;0,00;;;;;;
An experimental study: personalized gamified learning based on learning style;Aljabali et al.;Textuell bzw Graphischer Vorschlag von game elementen (Durch literatur review);PositiveNumber;2;0;2;sensor;;1,00;1,00;;0,00;0,00;0,00;;;;0,00;;
An experimental study: personalized gamified learning based on learning style;Aljabali et al.;Textuell bzw Graphischer Vorschlag von game elementen (Durch literatur review);PositiveNumber;2;0;2;intuitive;;0,00;0,00;;0,00;0,00;0,00;;;;1,00;;
An experimental study: personalized gamified learning based on learning style;Aljabali et al.;Textuell bzw Graphischer Vorschlag von game elementen (Durch literatur review);PositiveNumber;2;0;2;visual;;1,00;1,00;;1,00;0,00;0,00;;;;0,00;;
An experimental study: personalized gamified learning based on learning style;Aljabali et al.;Textuell bzw Graphischer Vorschlag von game elementen (Durch literatur review);PositiveNumber;2;0;2;verbal;;1,00;0,00;;1,00;0,00;0,00;;;;0,00;;
An experimental study: personalized gamified learning based on learning style;Aljabali et al.;Textuell bzw Graphischer Vorschlag von game elementen (Durch literatur review);PositiveNumber;2;0;2;sequential;;0,00;2,00;;0,00;1,00;0,00;;;;0,00;;
An experimental study: personalized gamified learning based on learning style;Aljabali et al.;Textuell bzw Graphischer Vorschlag von game elementen (Durch literatur review);PositiveNumber;2;0;2;global;;0,00;0,00;;1,00;0,00;0,00;;;;1,00;;
An experimental study: personalized gamified learning based on learning style;Aljabali et al.;Textuell bzw Graphischer Vorschlag von game elementen (Durch literatur review);PositiveNumber;2;0;2;active;;1,00;0,00;;0,00;0,00;2,00;;;;0,00;;
An experimental study: personalized gamified learning based on learning style;Aljabali et al.;Textuell bzw Graphischer Vorschlag von game elementen (Durch literatur review);PositiveNumber;2;0;2;reflective;;0,00;0,00;;0,00;0,00;0,00;;;;1,00;;
